年月日,体重,散歩距離,食事量,消費カロリー,天気,イベント,摂取カロリー,摂取-消費,前日とのカロリー差,前日との体重差
2022-6-12,7.21,0.1,98,6.08,曇り,,333.2,327.12,,
2022-6-13,7.205,1.2,95,12.44,曇り,,323,310.56,-16.56,-0.095
2022-6-14,7.265,1.66,84,15.19,曇り,,285.6,270.41,-40.15,0.065
2022-6-15,7.3,0,100,0,雨,,340,340,69.59,0.035
2022-6-16,7.325,1.31,95,13.22,曇り,,323,309.78,-30.22,0.025
2022-6-17,7.295,1.36,89,13.48,曇り,,302.6,289.12,-20.66,-0.03
2022-6-18,7.3,1.31,90,13.19,曇り,,306,292.81,3.69,0.005
2022-6-19,7.31,1.01,89,11.45,晴れ,,302.6,291.15,-1.66,0.01
2022-6-20,7.3,1.54,86,14.54,曇り,,292.4,277.86,-13.29,-0.01
2022-6-21,7.27,0.93,84,10.95,曇り,,285.6,274.65,-3.21,-0.03
2022-6-22,7.275,0.65,88,10.85,曇り,,299.2,288.35,13.7,0.005
2022-6-23,7.17,0.58,89,8.82,曇り,トリミング,302.6,293.78,5.43,-0.105
2022-6-24,7.155,0.87,82,10.48,曇り,,278.8,268.32,-25.78,-0.015
2022-6-25,7.19,0.78,85,10,晴れ,,289,279,10.68,0.035
2022-6-26,7.2,1.13,90,12.03,晴れ,,306,293.97,14.97,0.01
2022-6-27,7.195,1.09,74,11.8,晴れ,,251.6,239.8,-54.17,-0.005
2022-6-28,7.24,0,98,0,晴れ,,333.2,333.2,-38.34,0.045
2022-6-29,7.23,0.97,90,11.14,曇り,,306,294.86,-38.34,-0.01
2022-6-30,7.24,1.07,100,11.73,晴れ,,340,328.27,33.41,0.01
2022-7-1,7.25,0.81,86,10.23,晴れ,,292.4,282.17,-46.1,0.01
2022-7-2,7.19,0.75,87,9.82,晴れ,,295.8,285.98,3.81,-0.06
2022-7-3,7.24,0.63,98,9.17,曇り,,333.2,324.03,38.05,0.05
2022-7-4,7.265,0.97,105,11.17,雨,,357,345.83,21.8,0.025
2022-7-5,7.245,1.06,100,11.68,曇り,,340,328.32,-17.51,-0.02
2022-7-6,7.2,0.98,87,11.16,曇り,,295.8,284.64,-43.68,-0.025
2022-7-7,7.265,0.57,89,8.85,曇り,,302.6,293.75,9.11,0.065
2022-7-8,7.235,0.84,89,10.39,晴れ,,302.6,292.21,-1.54,-0.3
2022-7-9,7.195,0.95,96,10.99,曇り,,326.4,315.41,23.2,-0.4
2022-7-10,7.25,0.92,95,10.87,曇り,,323,312.13,-3.28,0.055
2022-7-11,7.285,0.92,100,10.9,晴れ,,340,329.1,16.97,0.35
2022-7-12,7.275,2.17,100,18.17,曇り,,340,321.83,-7.27,-0.01
2022-7-13,7.315,0,89,0,雨,,302.6,302.6,-19.23,0.04